id,name,position,defense,attack,speed,strength,stamina
158023,L. Messi,forward,32,37,17,56,73
190460,C. Eriksen,midfielder,79,35,51,14,99
195864,P. Pogba,midfielder,35,43,65,56,33
198219,L. Insigne,forward,98,10,54,38,72
201024,K. Koulibaly,defender,39,84,42,65,84
203376,V. van Dijk,defender,68,42,11,46,50
179813,E. Cavani,forward,46,15,43,96,82
189511,Sergio Busquets,midfielder,84,17,28,53,42
194765,A. Griezmann,forward,24,76,43,20,64
209331,M. Salah,forward,32,57,88,77,36
211110,P. Dybala,forward,29,78,90,30,48
135507,Fernandinho,midfielder,88,23,64,91,82
172871,J. Vertonghen,defender,29,86,31,69,45
184087,T. Alderweireld,defender,95,79,66,96,27
189332,Jordi Alba,defender,65,29,48,92,10
192387,C. Immobile,forward,42,88,29,71,25
200145,Casemiro,midfielder,24,94,47,57,85
201399,M. Icardi,forward,10,27,70,83,78
211300,A. Martial,forward,94,69,85,50,56
212188,T. Werner,forward,58,79,63,74,84
212462,Alex Telles,defender,33,18,45,88,81
216594,N. Fekir,midfielder,61,25,54,45,80
205498,Jorginho,midfielder,91,36,27,61,69
206113,S. Gnabry,midfielder,66,59,88,33,44
207566,William Carvalho,midfielder,67,63,42,26,45
207863,Felipe,defender,34,41,97,45,52
208418,Y. Carrasco,midfielder,59,32,69,86,47
208808,Q. Promes,midfielder,84,82,63,75,21
210413,A. Romagnoli,defender,40,79,15,40,18
212523,Anderson Talisca,midfielder,68,98,64,38,44
213345,K. Coman,midfielder,50,85,24,49,36
213565,T. Lemar,midfielder,96,11,57,74,94
213331,J. Tah,defender,70,80,81,42,63
216409,M. Politano,midfielder,62,63,79,40,61
221992,H. Lozano,forward,31,28,45,15,43
226226,G. Lo Celso,midfielder,50,73,26,92,93
230225,Juiano Mestres,defender,84,93,90,49,25
231866,Rodri,midfielder,47,20,21,95,68
183574,M. Kruse,forward,62,85,55,63,82
184942,Giuliano,midfielder,26,66,24,87,65
186345,K. Trippier,defender,99,64,49,99,31
186627,M. Balotelli,forward,34,42,75,64,33
187754,Marlos,midfielder,27,57,79,73,87
188803,Taison,midfielder,41,15,73,31,90
201455,G. Kondogbia,midfielder,29,55,34,85,49
202562,J. Roussillon,defender,54,72,39,22,41
202685,S. Zaza,forward,41,18,74,63,15
206467,A. Plea,forward,78,70,62,32,26
207862,M. Ginter,defender,22,11,91,93,71
209889,R. Guerreiro,midfielder,27,19,87,99,90
210243,Ricardo Pereira,defender,40,10,30,23,88
212194,J. Brandt,midfielder,35,79,23,22,11
225953,S. Bergwijn,forward,63,24,95,68,53
230142,Oyarzabal,forward,95,18,22,25,85
230347,Welington Dano,defender,30,77,88,58,22
231943,Richarlison,forward,81,17,63,47,36
234153,Carlos Soler,midfielder,93,16,62,18,68
234906,H. Aouar,midfielder,15,11,64,39,21
235569,T. Ndombele,midfielder,76,79,97,93,68
112316,J. Mathieu,defender,71,30,93,43,19
198118,J. Guilavogui,midfielder,52,49,74,83,50
199069,V. Aboubakar,forward,41,29,41,59,85
199110,L. Muriel,forward,55,19,40,86,10
199206,D. Vida,defender,32,98,35,12,82
201119,Ismaily,defender,66,44,98,23,97
201143,A. Mandi,defender,49,31,78,16,32
54050,W. Rooney,forward,28,55,34,47,26
153244,A. Gignac,forward,24,10,29,17,26
156713,A. Granqvist,defender,47,19,89,69,99
157960,Manuel Fernandes,midfielder,88,30,65,69,28
158625,Dante,defender,31,63,19,43,12
159147,L. Perrin,defender,12,76,19,12,83
208330,A. Januzaj,forward,22,84,80,71,23
208334,J. Hector,defender,34,72,70,76,76
208498,M. Dabbur,forward,27,72,38,32,37
210324,J. Hofmann,midfielder,70,63,90,86,59
210455,Jonny,defender,63,97,95,23,59
212501,L. Dendoncker,midfielder,57,82,84,42,51
213160,R. Zobnin,midfielder,36,91,82,57,65
213516,Ricardo Horta,midfielder,44,37,79,90,43
213991,J. Lerma,midfielder,48,84,96,73,77
214947,J. Gbamin,midfielder,84,28,89,56,73
215061,D. Benedetto,forward,21,49,43,81,99
190456,N. Clyne,defender,19,41,98,46,93
192598,Elkeson,forward,18,72,59,33,65
193738,Y. Belhanda,midfielder,37,97,35,67,78
194229,Hugo Mallo,midfielder,62,70,63,68,71
194845,W. Khazri,forward,17,25,76,78,59
194957,P. Jones,defender,34,32,37,83,10
195586,A. Finnbogason,forward,26,73,34,52,29
49369,Fernando Torres,forward,91,58,94,14,16
152908,A. Young,defender,75,43,74,80,27
157301,R. Babel,midfielder,35,90,13,54,98
158232,S. Kalou,forward,19,80,85,18,53
159065,E. Lavezzi,midfielder,34,66,14,69,65
